gemid,GSB88_pop,GSB88_pop_8,GSB88_pop_10,GSB94_pop,GSB94_pop_8,GSB94_pop_10,GSB98_pop,GSB98_pop_8,GSB98_pop_10,GSB05_pop,GSB05_pop_8,GSB05_pop_10,GSB09_pop,GSB09_pop_8,GSB09_pop_10,GSB17_pop,GSB17_pop_8,GSB17_pop_10,GSB88_kant,GSB94_kant,GSB98_kant,GSB05_kant,GSB09_kant,GSB17_kant,GSB88_spr,GSB94_spr,GSB98_spr,GSB05_spr,GSB09_spr,GSB17_spr,GSB23_bez,GSB23_kant,GSB23_pop,GSB23_spr,GSB23_bezname,GSB23_Q52,GSB17_Q58,GSB23_Q9,GSB17_Q7,GSB23_Q7,GSB17_Q6
139,4622,5,5,4554,5,5,4619,5,5,4954,5,5,5109,6,6,5743,6,6,1,1,1,1,1,1,1,1,1,1,1,1,106.0,1.0,6218.0,1.0,Horgen,2.0, ,5.0,1,1.0,2
140,1694,4,4,1700,4,4,1734,4,4,1920,4,4,1937,4,4,1849,4,4,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,, ,, ,, 
141,15647,7,7,15700,7,7,15524,7,7,16276,7,7,16631,7,7,17786,7,7,1,1,1,1,1,1,1,1,1,1,1,1,106.0,1.0,18392.0,1.0,Horgen,2.0, ,4.0,1,1.0,1
142,19440,7,7,20000,8,8,19082,7,7,19181,7,7,19913,7,7,21773,8,8,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,,1,,1
151,4377,5,5,4500,5,5,4288,5,5,4939,5,5,5179,6,6,5517,6,6,1,1,1,1,1,1,1,1,1,1,1,1,107.0,1.0,5678.0,1.0,Meilen,0.0, ,0.0, ,0.0, 
152,4532,5,5,4700,5,5,5033,6,6,5693,6,6,5815,6,6,6298,6,6,1,1,1,1,1,1,1,1,1,1,1,1,107.0,1.0,6749.0,1.0,Meilen,2.0, ,5.0,1,1.0,1
153,6865,6,6,7100,6,6,6964,6,6,7492,6,6,7822,6,6,8617,6,6,1,1,1,1,1,1,1,1,1,1,1,1,107.0,1.0,8964.0,1.0,Meilen,2.0, ,3.0,3,2.0,2
154,12384,7,7, , , ,12321,7,7,12902,7,7,13283,7,7,14192,7,7,1,1,1,1,1,1,1,1,1,1,1,1,107.0,1.0,14833.0,1.0,Meilen,0.0, ,0.0, ,0.0, 
155,7486,6,6,7621,6,6,7673,6,6,9445,6,6,10015,7,7,10830,7,7,1,1,1,1,1,1,1,1,1,1,1,1,107.0,1.0,11437.0,1.0,Meilen,2.0, ,4.0,1,1.0,1
156,10749,7,7, , , ,10792,7,7,11683,7,7,12194,7,7,13759,7,7,1,1,1,1,1,1,1,1,1,1,1,1,107.0,1.0,14754.0,1.0,Meilen,0.0, ,0.0, ,0.0, 
157,3770,5,5,3700,5,5,3935,5,5,4224,5,5,4381,5,5,4739,5,5,1,1,1,1,1,1,1,1,1,1,1,1,107.0,1.0,4947.0,1.0,Meilen,2.0, ,2.0,3,2.0,3
158,10539,7,7, , , ,11023,7,7,12536,7,7,13616,7,7,14290,7,7,1,1,1,1,1,1,1,1,1,1,1,1,107.0,1.0,14889.0,1.0,Meilen,2.0, ,2.0,3,1.0,1
159,4026,5,5,3750,5,5,4275,5,5,5449,6,6,5654,6,6,6076,6,6,1,1,1,1,1,1,1,1,1,1,1,1,107.0,1.0,6325.0,1.0,Meilen,2.0, ,3.0,1,1.0,1
160,4585,5,5,4700,5,5, , , ,4768,5,5,4990,5,5,5156,6,6,1,1,1,1,1,1,1,1, ,1,1,1,107.0,1.0,5633.0,1.0,Meilen,2.0, ,3.0,1,1.0,2
161,11406,7,7,11440,7,7, , , ,11990,7,7,12154,7,7,12790,7,7,1,1,1,1,1,1,1,1, ,1,1,1,107.0,1.0,13472.0,1.0,Meilen,2.0, ,3.0, ,1.0, 
171,3760,5,5, , , , , , ,4194,5,5,4167,5,5, , , ,1,1,1,1,1, ,1,1, ,1,1, ,,,,,,, ,, ,, 
172,4065,5,5,4278,5,5,4538,5,5,4767,5,5,5208,6,6,6361,6,6,1,1,1,1,1,1,1,1,1,1,1,1,108.0,1.0,6791.0,1.0,Pfäffikon,2.0,80,2.0,2,2.0,2
173,2067,5,5,2300,5,5,2730,5,5,3155,5,5,3374,5,5,3598,5,5,1,1,1,1,1,1,1,1,1,1,1,1,108.0,1.0,3756.0,1.0,Pfäffikon,2.0, ,5.0, ,2.0, 
174,14566,7,7,15000,7,7,14294,7,7,15034,7,7,15338,7,7, , , ,1,1,1,1,1, ,1,1,1,1,1, ,,,,,,, ,, ,, 
175,290,2,2,367,2,2,398,2,2,363,2,2,402,2,2, , , ,1,1,1,1,1, ,1,1,1,1,1, ,,,,,,, ,, ,, 
176,3302,5,5,3400,5,5,3564,5,5,4451,5,5,4913,5,5,5487,6,6,1,1,1,1,1,1,1,1,1,1,1,1,108.0,1.0,5723.0,1.0,Pfäffikon,2.0, ,3.0,2,2.0,2
177,9182,6,6,8900,6,6,9042,6,6,9935,6,6,10291,7,7,11774,7,7,1,1,1,1,1,1,1,1,1,1,1,1,108.0,1.0,12379.0,1.0,Pfäffikon,2.0, ,4.0,2,2.0,2
178,3669,5,5, , , ,3688,5,5,3886,5,5,3963,5,5,4360,5,5,1,1,1,1,1,1,1,1,1,1,1,1,108.0,1.0,4511.0,1.0,Pfäffikon,2.0, ,99.0,1,3.0,1
